,S1,S11,S10,S9,S5,S4,S13,S3,S2,S12
74,4896.86613962116,4896.86613962116,4896.86613962116,4896.86613962116,4896.86613962116,4896.86613962116,4896.86613962116,4896.86613962116,4896.86613962116,4896.86613962116
75,1431.5723238015585,1431.5723238015585,1431.5723238015585,1431.5723238015585,1431.5723238015585,1431.5723238015585,1431.5723238015585,1431.5723238015585,1431.5723238015585,1431.5723238015585
76,1530.3947981471142,1530.3947981471142,1530.3947981471142,1530.3947981471142,1530.3947981471142,1530.3947981471142,1530.3947981471142,1530.3947981471142,1530.3947981471142,1530.3947981471142
77,3025.607613698379,3025.607613698379,3025.607613698379,3025.607613698379,3025.607613698379,3025.607613698379,3025.607613698379,3025.607613698379,3025.607613698379,3025.607613698379
78,2120.7413304528354,2120.7413304528354,2120.7413304528354,2120.7413304528354,2120.7413304528354,2120.7413304528354,2120.7413304528354,2120.7413304528354,2120.7413304528354,2120.7413304528354
79,4609.821680581412,4609.821680581412,4609.821680581412,4609.821680581412,4609.821680581412,4609.821680581412,4609.821680581412,4609.821680581412,4609.821680581412,4609.821680581412
80,1442.5570007925548,1442.5570007925548,1442.5570007925548,1442.5570007925548,1442.5570007925548,1442.5570007925548,1442.5570007925548,1442.5570007925548,1442.5570007925548,1442.5570007925548
81,1813.54855426667,1813.54855426667,1813.54855426667,1813.54855426667,1813.54855426667,1813.54855426667,1813.54855426667,1813.54855426667,1813.54855426667,1813.54855426667
82,1709.1987678499518,1709.1987678499518,1709.1987678499518,1709.1987678499518,1709.1987678499518,1709.1987678499518,1709.1987678499518,1709.1987678499518,1709.1987678499518,1709.1987678499518
83,3051.8584700331307,3051.8584700331307,3051.8584700331307,3051.8584700331307,3051.8584700331307,3051.8584700331307,3051.8584700331307,3051.8584700331307,3051.8584700331307,3051.8584700331307
84,2953.147597401737,2953.147597401737,2953.147597401737,2953.147597401737,2953.147597401737,2953.147597401737,2953.147597401737,2953.147597401737,2953.147597401737,2953.147597401737
85,1237.4461972171157,1237.4461972171157,1237.4461972171157,1237.4461972171157,1237.4461972171157,1237.4461972171157,1237.4461972171157,1237.4461972171157,1237.4461972171157,1237.4461972171157
86,2711.4034452096566,2711.4034452096566,2711.4034452096566,2711.4034452096566,2711.4034452096566,2711.4034452096566,2711.4034452096566,2711.4034452096566,2711.4034452096566,2711.4034452096566
87,1709.5061698617972,1709.5061698617972,1709.5061698617972,1709.5061698617972,1709.5061698617972,1709.5061698617972,1709.5061698617972,1709.5061698617972,1709.5061698617972,1709.5061698617972
88,5964.565495598588,5964.565495598588,5964.565495598588,5964.565495598588,5964.565495598588,5964.565495598588,5964.565495598588,5964.565495598588,5964.565495598588,5964.565495598588
89,1643.7237214971476,1643.7237214971476,1643.7237214971476,1643.7237214971476,1643.7237214971476,1643.7237214971476,1643.7237214971476,1643.7237214971476,1643.7237214971476,1643.7237214971476
90,1814.5677088313385,1814.5677088313385,1814.5677088313385,1814.5677088313385,1814.5677088313385,1814.5677088313385,1814.5677088313385,1814.5677088313385,1814.5677088313385,1814.5677088313385
91,1909.0491170623573,1909.0491170623573,1909.0491170623573,1909.0491170623573,1909.0491170623573,1909.0491170623573,1909.0491170623573,1909.0491170623573,1909.0491170623573,1909.0491170623573
92,3263.734390116048,3263.734390116048,3263.734390116048,3263.734390116048,3263.734390116048,3263.734390116048,3263.734390116048,3263.734390116048,3263.734390116048,3263.734390116048
